"Country Name","Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Chile","CHL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","4.75156845509284","5.57546307469172","5.66049988200675","6.4852208430844","7.19797375849011","7.02224108522192","7.15571592619416","7.18891535669107","6.98239749678093","7.14157753928888","7.27901355190521","8.68222694221627","9.05556569983693","8.93136668702777","9.93480732722564","10.1610296179761","10.670895114175","9.2324089879526","6.91479658388314","5.48068058807847","7.88495787239247","9.29902521297866","9.67036754617617","8.55801554261266","8.63387108795061","7.12898631306453","7.16231261116687","5.82100794526762","4.66975042642428","6.32704824089395","7.31599485014471","7.49149576351681","7.21767157911606","6.87275525444478","8.03182862498961","8.48712496650126","6.49838762785506","6.87087830011717","7.39179476062407","6.14703381064073","5.46225791984732","4.80336965332282","4.56098540368147","5.77074039652159","",
"China","CHN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0.659749351555249","0.710858288887956","0.766039774688481","0.844829715021483","0.800599642926353","0.78441340010355","0.751708751920456","0.649989416404471","0.718271901619975","0.837107505567271","0.949847681823884","1.04537509549766","1.16701335441299","1.10555828781086","1.14906041938679","1.1353534300267","1.14254911357064","1.18289992340014","1.25692984402683","1.2554596408012","1.27602511076788","1.31058536830879","1.46727912426835","1.89785485901887","2.01328211535624","1.99356504641001","2.0831244521116","2.18050198103324","2.15561249875989","2.2515266508044","2.64916210396225","2.77382971479616","2.77877436408006","2.93048361581734","3.00011675774641","3.00200356789756","3.20752969061064","3.736993994142","3.73547101408649","3.90605395562687","3.83451910060976","4.46946019341381","4.75914974596975","","",
"Cote d'Ivoire","CIV","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0.486940511299757","0.746082166540311","0.536884819477682","0.84800999585286","1.11275523303739","0.927137706775777","0.586834401553089","0.412824996924365","1.78394337301125","3.25334646550566","4.18019512447305","4.19578998011201","2.42907340642702","0.911245723298097","3.15881691233409","2.50487533023187","2.15713062905183","2.5001540253801","3.10277190674573","2.61654574168066","2.41262878416207","1.84874118505442","1.87203440388597","1.95160007082388","2.97680973943602","2.64720788420633","2.73559585893959","2.009840277931","2.14723393667052","2.23424819236119","2.3705721945664","2.13036100402364","2.38774266235004","1.6166011543587","1.28484599719975","1.37293698667503","1.51803062877422","1.59522125549155","1.95443914893072","1.36918474331378","1.30942016248194","1.21791556696276","1.13481318049575","","",
"Cameroon","CMR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","3.33765585664806","3.34957946040401","3.26199408246827","3.53755690112228","3.66877397987033","3.50635725266963","3.19569159498226","3.17953660413838","3.18338869247251","3.2113587831032","4.05643146087561","4.36670908770192","4.32263225961683","4.36485456427073","4.60702090172595","4.62148093588824","4.57412362715639","4.65210971972759","4.64710131213919","4.58588393547286","4.56747154402355","4.57078159358141","4.58129511721683","4.24752224194384","4.27553718706789","4.34676868482438","4.55653264028269","4.46323464259946","4.73873368232086","4.6914111668176","4.67978092602847","4.18686196339058","4.46065304943902","4.80592129648109","4.59633440375968","4.97858778280213","5.21856184094051","5.69102182325608","4.99530085111147","5.25865533673997","5.63189182249581","5.6854604132745","5.68414489375837","","",
"Congo, Rep.","COG","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0.913238417368049","1.07759602679182","0.807417727888959","0.871007956924697","0.90191738812825","0.89431471360636","0.71617802436879","0.158003213511446","1.1069432185937","1.38760257771381","1.38645630346145","2.20538494755505","2.64390267173044","2.94806940104451","3.2780185709851","3.06824338806064","3.12714592344849","3.37399576994817","4.43812403401063","5.43277871031454","5.18103500210856","4.5671113872175","3.823433982172","3.80118323701802","3.90547491539987","5.17217502779569","5.35335954849921","4.04406507463343","1.15314369271332","3.61182491831752","3.64877087080678","4.30014659590668","3.11329682171051","2.86812680394868","2.83462344446209","2.26576891451737","2.29072031664577","2.40941172251646","1.85649150579908","2.22008668772381","3.05886606208204","3.58598558204143","3.59519112580753","","",
"Colombia","COL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","4.13679585986882","4.52691551714276","4.89570576518232","5.15256246910043","4.95924726384481","4.92792091222193","5.43895836237473","6.30628118412668","7.09492331222596","6.93837384817437","6.85275088078847","7.04885509534362","6.89070583257122","7.44825838917379","7.89156441470731","8.38537664053301","8.84199500290602","9.04426028334847","9.81133706499598","9.76254205524138","9.73766050725241","7.65060860788993","9.14409132342987","10.1645424559736","10.0213448529135","10.7960396748426","9.86741082739275","9.21520424528796","11.2949892572641","10.6857353333812","10.637512934019","11.5904054825542","12.0890905168206","13.2740868496269","12.6543663089597","12.9320814108852","13.5262518728361","13.4896233134392","11.5143400154817","11.145942805543","13.4617794946341","12.968684452743","12.0560347680851","","",
"Comoros","COM","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","10.9562965120242","10.9613784025046","10.3785161109961","11.7119417545652","11.216276643315","12.4444630857403","9.86084597005607","10.0714225721951","10.7039328582778","14.5279993880264","16.6756900329424","17.862972979558","21.1911462691108","21.0717090951801","18.7654141136474","18.7727130982233","18.2761095121483","18.1101197266157","17.7717395016477","17.3356610304053","17.6633141409993","25.8794656455333","26.6387825370521","27.0787921389653","24.8803534306633","26.3376773270139","30.8860356808158","28.6691872296138","32.5213417869926","33.7643166164622","35.1842851020313","37.462102983836","34.4277452255681","39.6220228259279","36.5545610907743","35.2243021622844","32.032103258502","32.8407608088872","35.0998398563092","35.1792483023923","36.0314535314116","38.7002060159884","37.0232437513112","","",
"Caribbean small states","CSS","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","0.2331363421605","0.230949565345909","0.153257808470941","0.194110668982477","0.225179848062566","0.188835735865515","0.17701274098961","0.165466047922916","0.159795668357905","0.169003511408228","0.168326522763931","0.182060958274169","0.20676632376048","0.189884737020679","0.189280502259481","0.182376209320386","0.157954763518944","0.118548338337449","0.143073098013325","0.0862750900855352","0.0943903050546946","0.0788754690017404","0.06719159011307","0.0822080652405955","0.0882480265513684","0.0823580077811981","0.0924290360442952","0.0854598338780773","0.0772783698416049","0.0723295036726055","0.0347869561858287","0.052008215805531","0.058835045057751","0.0801675409510916","0.0875791915631978","0.0857679220931597","0.0781542698071263","0.0805144530724934","0.0784642644424519","0.0774622471503515","0.092408740067984","0.100588903876077","0.0881295494617448","","",
